Entity,Code,Year,Pigs,Cattle,Sheep,Turkeys,Chickens,Goat
Albania,ALB,2000,116940,340000,1230000,,5013000,900000
Albania,ALB,2001,116940,336000,1219481,,5013000,900000
Albania,ALB,2002,129000,357800,1230000,,7519000,900000
Albania,ALB,2003,129000,360000,1230000,,10025000,900000
Albania,ALB,2004,151000,355000,1350000,,11278000,982000
Albania,ALB,2005,170000,355000,1310000,,11278000,975000
Albania,ALB,2006,169000,420000,1364000,,12531000,918750
Albania,ALB,2007,187000,440000,1810000,,16291000,1160000
Albania,ALB,2008,187000,360000,1490000,,20050000,725000
Albania,ALB,2009,187000,354000,1560000,,21303000,750000
Albania,ALB,2010,187000,370000,1340000,,21303000,950000
Albania,ALB,2011,196000,374500,1450000,,21429000,912500
Albania,ALB,2012,200000,303078,1200000,,8000000,600000
Albania,ALB,2013,203530,303045,1212500,,8500000,606250
Albania,ALB,2014,205368,306522,1283370,,8750000,618750
Algeria,DZA,1961,1000,200000,2300000,30000,14140000,1000000
Algeria,DZA,1962,1000,180000,2300000,30000,15460000,800000
Algeria,DZA,1963,1000,156170,2170518,30000,16470000,621302
Algeria,DZA,1964,2000,180000,2338038,30000,18100000,573452
Algeria,DZA,1965,2300,200000,2251413,30000,19940000,904403
Algeria,DZA,1966,900,230000,2200000,30000,21570000,833530
Algeria,DZA,1967,1000,260000,2200000,30000,23018000,800000
Algeria,DZA,1968,1244,290000,2571000,30000,24520000,900000
Algeria,DZA,1969,1867,300000,2714000,30000,25840000,900000
Algeria,DZA,1970,2000,259000,2929000,30000,27060000,900000
Algeria,DZA,1971,2000,322000,2990000,30000,28500000,850000
Algeria,DZA,1972,2000,362000,3190000,30000,30000000,800000
Algeria,DZA,1973,2050,388000,3380000,30000,32000000,810000
Algeria,DZA,1974,2000,450000,3186000,30000,34000000,890400
Algeria,DZA,1975,2000,401000,3357000,30000,36000000,794000
Algeria,DZA,1976,2000,417000,3640000,30000,38000000,728000
Algeria,DZA,1977,2000,430000,3719000,30000,40000000,799200
Algeria,DZA,1978,2050,345000,3907000,30000,42000000,881300
Algeria,DZA,1979,2050,360000,4300000,30000,44000000,986200
Algeria,DZA,1980,2100,362000,4400000,30000,60000000,925900
Algeria,DZA,1981,2200,355000,4945000,30000,72000000,934600
Algeria,DZA,1982,2200,390000,5220000,30000,88000000,971400
Algeria,DZA,1983,2200,529000,5070000,33000,100000000,1007000
Algeria,DZA,1984,2300,365000,5480000,44000,150000000,955000
Algeria,DZA,1985,2400,477000,5480000,44000,160000000,914000
Algeria,DZA,1986,2500,458000,5540000,46000,170000000,854800
Algeria,DZA,1987,2500,481000,7600000,46000,172000000,873000
Algeria,DZA,1988,2600,533000,7960000,48000,182000000,758800
Algeria,DZA,1989,2700,559000,9200000,50000,186000000,817300
Algeria,DZA,1990,2800,584000,9570000,52000,194000000,840500
Algeria,DZA,1991,2900,590000,9900000,55000,197000000,845000
Algeria,DZA,1992,3000,600000,10700000,57000,199000000,875000
Algeria,DZA,1993,3000,610000,11000000,57000,204000000,860000
Algeria,DZA,1994,3200,615000,10500000,71000,210000000,810000
Algeria,DZA,1995,3200,565000,10000000,73000,208000000,845000
Algeria,DZA,1996,3200,588300,9967000,65000,215000000,1100000
Algeria,DZA,1997,3200,567000,9363000,66000,220000000,1186000
Algeria,DZA,1998,3200,562000,8645000,585000,245000000,1216000
Algeria,DZA,1999,3200,649909,9601435,745000,232000000,1225100
Algeria,DZA,2000,3200,670000,9650000,1005000,240000000,1230000
Algeria,DZA,2001,3200,573000,9650000,1455000,236000000,1235000
Algeria,DZA,2002,3200,600000,9700000,468000,243000000,1235000
Algeria,DZA,2003,3200,621000,9700000,1250000,253000000,1235000
Algeria,DZA,2004,3200,645000,10135000,3728000,253000000,1280000
Algeria,DZA,2005,3200,620000,10475000,4340000,253000000,1328300
Algeria,DZA,2006,3200,627000,10867000,2083000,253000000,1389000
Algeria,DZA,2007,3200,630000,11000000,2945000,254000000,1420000
Algeria,DZA,2008,3200,640000,10500000,3340000,254000000,1410000
Algeria,DZA,2009,3200,670000,11600000,3935000,254000000,1500000
Algeria,DZA,2010,3100,680000,12050000,5705000,252000000,1650000
Algeria,DZA,2011,2900,700000,14900000,4765000,258000000,1700000
Algeria,DZA,2012,3000,700000,15400000,5365000,262000000,1750000
Algeria,DZA,2013,3000,760000,16200000,4105000,267000000,1850000
Algeria,DZA,2014,3014,740443,16808370,4426000,267194000,1940376
American Samoa,ASM,1961,7080,50,,,64000,
American Samoa,ASM,1962,6000,50,,,64000,
American Samoa,ASM,1963,8000,50,,,64000,
American Samoa,ASM,1964,10000,90,,,64000,
American Samoa,ASM,1965,12800,60,,,64000,
American Samoa,ASM,1966,12720,70,,,56000,
American Samoa,ASM,1967,7700,80,,,48000,
American Samoa,ASM,1968,6800,40,,,40000,
American Samoa,ASM,1969,5740,70,,,34000,
American Samoa,ASM,1970,5740,50,,,32000,
American Samoa,ASM,1971,5760,30,,,34000,
American Samoa,ASM,1972,5790,30,,,35000,
American Samoa,ASM,1973,5820,30,,,36000,
American Samoa,ASM,1974,5880,30,,,30000,
American Samoa,ASM,1975,5940,20,,,28000,
American Samoa,ASM,1976,6000,20,,,26000,
American Samoa,ASM,1977,6060,30,,,24000,
American Samoa,ASM,1978,6120,30,,,22000,
American Samoa,ASM,1979,6180,10,,,20000,
American Samoa,ASM,1980,6190,10,,,18000,
American Samoa,ASM,1981,6190,15,,,19000,
American Samoa,ASM,1982,6200,15,,,20000,
American Samoa,ASM,1983,6230,15,,,21000,
American Samoa,ASM,1984,6240,15,,,22000,
American Samoa,ASM,1985,6250,15,,,23000,
American Samoa,ASM,1986,6300,15,,,24000,
American Samoa,ASM,1987,6300,15,,,25000,
American Samoa,ASM,1988,6300,20,,,26000,
American Samoa,ASM,1989,6300,20,,,27000,
American Samoa,ASM,1990,6300,20,,,28000,
American Samoa,ASM,1991,6300,20,,,29000,
American Samoa,ASM,1992,6300,20,,,30000,
American Samoa,ASM,1993,6300,20,,,31000,
American Samoa,ASM,1994,6300,20,,,32000,
American Samoa,ASM,1995,6300,20,,,32000,
American Samoa,ASM,1996,6300,20,,,32000,
American Samoa,ASM,1997,6300,21,,,32000,
American Samoa,ASM,1998,6300,21,,,32000,
American Samoa,ASM,1999,6300,21,,,32000,
American Samoa,ASM,2000,6300,21,,,32000,
American Samoa,ASM,2001,6300,21,,,32000,
American Samoa,ASM,2002,6300,21,,,32000,
American Samoa,ASM,2003,6300,21,,,32000,
American Samoa,ASM,2004,6300,21,,,32000,
American Samoa,ASM,2005,6300,21,,,31000,
American Samoa,ASM,2006,6300,20,,,30000,
American Samoa,ASM,2007,6300,25,,,30000,
American Samoa,ASM,2008,6300,25,,,30000,
American Samoa,ASM,2009,6300,25,,,30000,
American Samoa,ASM,2010,6300,25,,,30000,
American Samoa,ASM,2011,6300,25,,,30000,
American Samoa,ASM,2012,6300,25,,,30000,
American Samoa,ASM,2013,6300,25,,,29000,
American Samoa,ASM,2014,6300,25,,,29000,
Americas,,1961,113459511,66225736,40087925,112247000,2823189000,7418791
Americas,,1962,115469279,68702280,40064414,99041000,2879438000,7482725
Americas,,1963,118656340,70798749,37886426,102435000,3009659000,7519162
Americas,,1964,118991141,72999459,35411714,109210000,3138327000,7714949
Americas,,1965,109722917,75276461,36284447,117141000,3414465000,7683782
Americas,,1966,110184320,76368326,37641866,129404000,3341635000,8056357
Americas,,1967,120232364,77578067,38021330,139117000,3891996000,7476537
Americas,,1968,123268007,80694519,38612749,121368000,3940625000,7509204
Americas,,1969,122239979,81890194,35872441,120022000,4177003000,7655022
Americas,,1970,127175906,80482468,36689441,132226000,4447772000,7954194
Americas,,1971,138477283,76966628,36344631,139151000,4469380000,7964495
Americas,,1972,129266288,78063465,31899005,148480000,4688944000,8839201
Americas,,1973,121927098,74329832,30549241,152610000,4733346000,8837995
Americas,,1974,128432241,79248528,30129552,160255000,4852324000,8511123
Americas,,1975,115787909,90928686,29929617,149283000,4724463000,8338720
Americas,,1976,122695757,97799875,28537573,165003000,5208290000,8366595
Americas,,1977,128303458,98829179,27582294,158657000,5430628000,8357467
Americas,,1978,130868892,96775802,25595955,161926000,5841410000,8398200
Americas,,1979,146496524,87493171,25063827,179425000,6515874000,8494830
Americas,,1980,157931095,87375301,24535206,193985000,6948415000,8514552
Americas,,1981,153604839,91548679,26748912,201844000,7221547000,8767559
Americas,,1982,142994784,91284985,27358943,197934000,7334910000,8880101
Americas,,1983,150777731,91955442,26854963,204185000,7391269000,8669303
Americas,,1984,146697964,93821740,26248202,205547000,7386262000,8515864
Americas,,1985,145577452,94863149,26404998,218444000,7882034000,9241629
Americas,,1986,138678716,98179434,26170103,239267000,8132020000,9402505
Americas,,1987,140884878,93357373,26376488,275269000,8850126000,9432236
Americas,,1988,148334831,94326561,26574934,281079000,9076845000,9470959
Americas,,1989,146262567,95617472,27238163,295233000,9310438000,9720443
Americas,,1990,142733961,95309493,28600696,316879000,10114003000,9939414
Americas,,1991,148365074,96533863,27387328,319757000,10786316000,9820892
Americas,,1992,158615519,94618169,27722813,324927000,11496752000,9804985
Americas,,1993,160544021,95873497,27992752,320790000,12197579000,10052295
Americas,,1994,167117230,97056755,27802595,323499000,12915871000,9759433
Americas,,1995,172767118,98352656,25573781,329459000,14040376000,10327466
Americas,,1996,168991200,101493869,25087717,343710000,14422755000,8342471
Americas,,1997,165688138,102805245,24799619,342509000,14501737000,8464897
Americas,,1998,180564893,102552457,24381440,325033000,14895038000,9036043
Americas,,1999,188205634,106547974,25190919,318997000,15805417000,9081630
Americas,,2000,189236775,107812175,25225406,328577000,16245674000,9311470
Americas,,2001,190718229,107521357,25408736,334691000,16884859000,9270566
Americas,,2002,197414444,109039895,24142953,338438000,17397822000,9582853
Americas,,2003,199074487,110564189,24169920,338483000,17358917000,9512949
Americas,,2004,203575827,112466327,23944541,328354000,18260340000,9533363
Americas,,2005,199602530,116037705,24969222,332180000,19196824000,9385726
Americas,,2006,197817477,118473277,24809549,341822000,19306426000,9430936
Americas,,2007,207103691,120345019,24485968,370420000,20161215000,9530848
Americas,,2008,216334383,120800988,24880037,389483000,20752085000,9514440
Americas,,2009,213845352,119976057,25079935,361717000,20641290000,9415056
Americas,,2010,211733991,116342179,24227241,360352000,20495407000,9723638
Americas,,2011,214184092,115017006,23853310,366018000,20845595000,9599477
Americas,,2012,219564041,115949595,23327075,374290000,20113307000,9289800
Americas,,2013,220430085,118517121,23391302,368936000,20439575000,9261204
Americas,,2014,215491782,114030502,23590022,358941000,20869007000,9245836
Angola,AGO,1961,160000,133000,35000,,3400000,145500
Angola,AGO,1962,160000,143000,36250,,3500000,148500
Angola,AGO,1963,160000,150000,37388,,3600000,150000
Angola,AGO,1964,160000,166000,36635,,3700000,162900
Angola,AGO,1965,180000,182000,36260,,3800000,174000
Angola,AGO,1966,180000,190000,35102,,4250000,186000
Angola,AGO,1967,180000,209000,35000,,4550000,198000
Angola,AGO,1968,180000,210000,34246,,4918000,214428
Angola,AGO,1969,180000,231000,36870,,5438000,222000
Angola,AGO,1970,180000,255000,39889,,6414000,231086
Angola,AGO,1971,190000,277000,42857,,6750000,246300
Angola,AGO,1972,196000,285000,45107,,6900000,270000
Angola,AGO,1973,207000,294000,46750,,7050000,285000
Angola,AGO,1974,220000,294000,48350,,7150000,300000
Angola,AGO,1975,230000,359000,49000,,7200000,315000
Angola,AGO,1976,245000,280000,49500,,7250000,330000
Angola,AGO,1977,260000,285000,50000,,7300000,345000
Angola,AGO,1978,275000,296000,50500,,7350000,360000
Angola,AGO,1979,315000,300000,51000,,7400000,375000
Angola,AGO,1980,330000,318000,51500,,7450000,380000
Angola,AGO,1981,340000,330000,52000,,7500000,390000
Angola,AGO,1982,355000,336000,52500,,7550000,400000
Angola,AGO,1983,370000,340000,53000,,7600000,405000
Angola,AGO,1984,385000,350000,53500,,7650000,415000
Angola,AGO,1985,400000,360000,54000,,7660000,420000
Angola,AGO,1986,412000,390000,54500,,7700000,426000
Angola,AGO,1987,420000,390000,55000,,7750000,435000
Angola,AGO,1988,423000,400000,55500,,7800000,450000
Angola,AGO,1989,440000,400000,55000,,7850000,465000
Angola,AGO,1990,440000,400000,55000,,7900000,450000
Angola,AGO,1991,442000,410000,55000,,7950000,450000
Angola,AGO,1992,445000,384000,57000,,8000000,465000
Angola,AGO,1993,440000,372000,56000,,8100000,450000
Angola,AGO,1994,435000,360000,55000,,8100000,435000
Angola,AGO,1995,440000,360000,55000,,8150000,438000
Angola,AGO,1996,445000,400000,60000,,8200000,477000
Angola,AGO,1997,450000,427000,64000,,8250000,516000
Angola,AGO,1998,445000,470000,70000,,8300000,558000
Angola,AGO,1999,440000,470000,77000,,8400000,600000
Angola,AGO,2000,440000,481000,85000,,8600000,645000
Angola,AGO,2001,460000,492000,112500,,8750000,750000
Angola,AGO,2002,525000,498000,137500,,8900000,825000
Angola,AGO,2003,550000,498000,162000,,9000000,900000
Angola,AGO,2004,605000,425000,187500,,9200000,930000
Angola,AGO,2005,614000,498000,215000,,8800000,1000000
Angola,AGO,2006,686000,498000,220000,,10000000,1050000
Angola,AGO,2007,766000,540000,226000,,12000000,1060000
Angola,AGO,2008,855000,570000,233000,,14600000,1090000
Angola,AGO,2009,953000,575000,240000,,17400000,1120000
Angola,AGO,2010,1070000,580000,245000,,21200000,1150000
Angola,AGO,2011,1180000,590000,252000,,24500000,1185000
Angola,AGO,2012,1300000,600000,257000,,28500000,1200000
Angola,AGO,2013,1440000,620000,265000,,33200000,1250000
Angola,AGO,2014,1575302,627030,272169,,37947000,1288345
Antigua and Barbuda,ATG,1961,940,1380,1500,,50000,2000
Antigua and Barbuda,ATG,1962,950,897,1600,,66000,2100
Antigua and Barbuda,ATG,1963,960,1087,1500,,68000,2000
Antigua and Barbuda,ATG,1964,1000,1431,1500,,69000,2100
Antigua and Barbuda,ATG,1965,1050,1217,1450,,68000,2100
Antigua and Barbuda,ATG,1966,1080,1307,1700,,69000,2050
Antigua and Barbuda,ATG,1967,1200,879,1800,,70000,2100
Antigua and Barbuda,ATG,1968,1400,758,1850,,72000,2100
Antigua and Barbuda,ATG,1969,1500,947,1900,,75000,2050
Antigua and Barbuda,ATG,1970,1600,968,2000,,80000,2050
Antigua and Barbuda,ATG,1971,1882,1688,2100,,81000,2200
Antigua and Barbuda,ATG,1972,1641,1573,2200,,84000,2000
Antigua and Barbuda,ATG,1973,1683,1528,2400,,87000,2100
Antigua and Barbuda,ATG,1974,852,1403,2500,,90000,2300
Antigua and Barbuda,ATG,1975,595,826,2500,,91000,2300
Antigua and Barbuda,ATG,1976,660,1039,2300,,93000,2200
Antigua and Barbuda,ATG,1977,1200,1374,2300,,110000,2600
Antigua and Barbuda,ATG,1978,1388,2356,2200,,100000,2600
Antigua and Barbuda,ATG,1979,1629,2508,2400,,100000,3200
Antigua and Barbuda,ATG,1980,1711,2951,2700,,100000,3600
Antigua and Barbuda,ATG,1981,1052,2276,2700,,102000,3600
Antigua and Barbuda,ATG,1982,1113,2181,2750,,110000,3600
Antigua and Barbuda,ATG,1983,1333,2685,2800,,115000,3600
Antigua and Barbuda,ATG,1984,1467,2308,2800,,108000,3600
Antigua and Barbuda,ATG,1985,1546,3189,2900,,130000,3600
Antigua and Barbuda,ATG,1986,1550,3200,2900,,140000,3900
Antigua and Barbuda,ATG,1987,1600,3200,3000,,140000,3900
Antigua and Barbuda,ATG,1988,1700,3200,2800,,140000,3900
Antigua and Barbuda,ATG,1989,1400,2500,2800,,140000,3800
Antigua and Barbuda,ATG,1990,1500,2800,2800,,150000,3900
Antigua and Barbuda,ATG,1991,1500,2900,2900,,160000,3900
Antigua and Barbuda,ATG,1992,1550,2900,2900,,170000,3900
Antigua and Barbuda,ATG,1993,1550,2900,2900,,175000,4600
Antigua and Barbuda,ATG,1994,1550,2900,2900,,175000,5600
Antigua and Barbuda,ATG,1995,1600,2800,3100,,180000,6800
Antigua and Barbuda,ATG,1996,1950,2700,3300,,180000,7700
Antigua and Barbuda,ATG,1997,2250,2600,3500,,200000,8700
Antigua and Barbuda,ATG,1998,2600,2500,3700,,200000,9300
Antigua and Barbuda,ATG,1999,2900,2550,3800,,220000,9900
Antigua and Barbuda,ATG,2000,3250,2500,3925,,220000,10500
Antigua and Barbuda,ATG,2001,3400,2650,3950,,240000,10700
Antigua and Barbuda,ATG,2002,3450,2700,4050,,240000,10800
Antigua and Barbuda,ATG,2003,3575,2750,4100,,260000,10950
Antigua and Barbuda,ATG,2004,3700,2800,4180,,260000,11100
Antigua and Barbuda,ATG,2005,3700,2800,4580,,280000,11100
Antigua and Barbuda,ATG,2006,3270,2800,5000,,280000,11500
Antigua and Barbuda,ATG,2007,2730,2800,6000,,300000,12000
Antigua and Barbuda,ATG,2008,2360,3000,6400,,300000,8000
Antigua and Barbuda,ATG,2009,1820,3000,6200,,200000,6000
Antigua and Barbuda,ATG,2010,1000,793,1583,,150000,600
Antigua and Barbuda,ATG,2011,1363,814,833,,80000,3400
Antigua and Barbuda,ATG,2012,1218,836,917,,67000,100
Antigua and Barbuda,ATG,2013,1270,980,940,,35000,243
Antigua and Barbuda,ATG,2014,1252,1031,867,,11000,625
Argentina,ARG,1961,2392743,10212265,9378598,560000,23523000,1600000
Argentina,ARG,1962,1994706,11790463,9539547,600000,27702000,1500000
Argentina,ARG,1963,1950030,12926462,8486396,656000,34182000,1500000
Argentina,ARG,1964,1932311,9367585,7539786,696000,48997000,1500000
Argentina,ARG,1965,2595832,9133873,9265011,736000,78997000,1530000
Argentina,ARG,1966,2903494,11075842,10642193,1275000,68992000,1560000
Argentina,ARG,1967,2861996,12520489,11656210,770000,73992000,1580000
Argentina,ARG,1968,2296851,12801959,11664827,900000,80980000,1590000
Argentina,ARG,1969,2506083,13820850,10933806,900000,86005000,1600000
Argentina,ARG,1970,2536431,12924548,9898088,950000,112715000,1610000
Argentina,ARG,1971,3023957,9467709,9682965,1100000,128800000,1626000
Argentina,ARG,1972,2708260,10010143,7280662,1200000,124000000,1638000
Argentina,ARG,1973,3154675,9817888,7144727,1300000,124300000,1650000
Argentina,ARG,1974,2983476,10114882,7230644,1500000,182506000,1374000
Argentina,ARG,1975,3104495,12146005,8106995,1400000,175800000,1200000
Argentina,ARG,1976,3112106,13868049,8098267,1200000,169000000,1200000
Argentina,ARG,1977,2767771,14748142,8295081,1100000,165500000,1050000
Argentina,ARG,1978,2420612,16250210,7941068,1200000,170000000,960000
Argentina,ARG,1979,2828064,15224808,7970320,1380000,187000000,950000
Argentina,ARG,1980,3049213,13830696,6953023,2500000,158000000,950000
Argentina,ARG,1981,2964059,14650497,7120314,3900000,166000000,950000
